Category,Question,Answer,Source_URL,Source_Type
Undergraduate Admissions,How do I apply for GIKI undergraduate admissions?,"Apply through the GIKI Admissions Portal at https://admissions.giki.edu.pk. For the best experience, it is recommended to apply using a web browser on a computer.",https://giki.edu.pk/admissions/admissions-undergraduates/faqs/,Official FAQ
Undergraduate Admissions,How can I apply for scholarships and financial assistance?,"You can opt for financial assistance directly in the online application form, where you must provide additional supporting information. Applying for financial assistance automatically considers you for most scholarships offered at GIK Institute, subject to each scholarship's own terms and conditions.",https://giki.edu.pk/admissions/admissions-undergraduates/faqs/,Official FAQ
Undergraduate Admissions,My parent/guardian has no income or salary proof - what should I do?,You can submit an income certificate issued by the District Revenue Office or the Deputy Commissioner on a stamp paper in place of a salary/income proof.,https://giki.edu.pk/admissions/admissions-undergraduates/faqs/,Official FAQ
Undergraduate Admissions,How do I apply for other scholarships mentioned on the GIKI website and social media?,"By applying for financial assistance in the admission form, you are automatically considered for most of the scholarships offered at GIK Institute according to each scholarship's terms and conditions.",https://giki.edu.pk/admissions/admissions-undergraduates/faqs/,Official FAQ
Undergraduate Admissions,I am in second year and my results will be announced after the admission test - can I still apply?,Yes. Candidates who meet the eligibility criteria but are awaiting results may apply for provisional admission. Confirmation of admission is subject to submission of results by the date specified in the offer letter and fulfillment of the eligibility criteria.,https://giki.edu.pk/admissions/admissions-undergraduates/faqs/,Official FAQ
Undergraduate Admissions,I am an ICS student - can I apply for Engineering programs?,"Yes, ICS students can apply for all programs including Engineering. For Engineering programs, HSSC (ICS: Mathematics, Physics and Computer Studies/Science/IT) with 60% or above marks each in Mathematics, Physics and Overall is required. For Computing programs, HSSC with Mathematics, Physics and any other subject as the third elective is required, with 60% or above each in Mathematics, Physics and Overall. For Management Sciences, HSSC (Pre-Engg, General Science, ICS, Pre-Medical or Humanities) with at least 60% overall marks is required.",https://giki.edu.pk/admissions/admissions-undergraduates/faqs/,Official FAQ
Undergraduate Admissions,Can FSc Pre-Medical students apply for Engineering or Computing programs?,"Pre-medical students are eligible for BS Management Sciences without additional Mathematics. For all other (Engineering/Computing) programs, additional Mathematics is required.",https://giki.edu.pk/admissions/admissions-undergraduates/faqs/,Official FAQ
Undergraduate Admissions,What is the location of GIKI?,"GIKI is located near Tarbela Dam in Khyber Pakhtunkhwa, about a 1.5-hour drive from Islamabad.",https://giki.edu.pk/admissions/admissions-undergraduates/faqs/,Official FAQ
Undergraduate Admissions,I am having an issue with the admissions portal or my application - what should I do?,Log into your profile on the GIK Admissions Portal and submit a support ticket for corrections to your application; a representative will respond on high priority. You can also email details of the issue to ugadmissions@giki.edu.pk.,https://giki.edu.pk/admissions/admissions-undergraduates/faqs/,Official FAQ
Undergraduate Admissions,How can I transfer to GIKI from another university?,"A student enrolled in a relevant Bachelor's engineering program at an accredited (PEC/HEC) institution, who has earned 15 or more transferable credits with a minimum CGPA of 2.5 (on a 4.0 scale), may apply for admission with advanced standing. The student must still earn a minimum of 70 credits at GIKI, including 6 credits of senior design project. The applicant must have passed the Institute's admission test (or SAT-II for foreign applicants) with marks at or above the minimum merit of the faculty applied to. Acceptance depends on seat availability and the quality of prior academic work. Contact the Admission Office for the application form and further details.",https://giki.edu.pk/admissions/admissions-undergraduates/faqs/,Official FAQ
Undergraduate Admissions,Where can I find complete GIKI undergraduate admissions information?,"Complete undergraduate admissions information, including important dates, fees, syllabus, scholarships, the application portal, and the transfer policy, is available on the GIKI website's admissions section (giki.edu.pk/bs-info, /dates, /fees, /syllabus, /aid, /apply, and /transfer).",https://giki.edu.pk/admissions/admissions-undergraduates/faqs/,Official FAQ
